date,strategy,portfolio,weight
2013-12-31,mv_improved_shrinkage,me2_bm2_vwret_pct,0.30004288569039217
2013-12-31,mv_improved_shrinkage,small_hibm_vwret_pct,0.0002616834558268332
2013-12-31,mv_improved_shrinkage,small_lobm_vwret_pct,3.1557909951141645e-10
2013-12-31,mv_plugin_sample,big_hibm_vwret_pct,-5.942425507360132e-23
2013-12-31,mv_plugin_sample,big_lobm_vwret_pct,1.0
2013-12-31,mv_plugin_sample,me1_bm2_vwret_pct,-7.32946022866549e-23
2013-12-31,mv_plugin_sample,me2_bm2_vwret_pct,-2.8023089842773195e-23
2013-12-31,mv_plugin_sample,small_hibm_vwret_pct,-9.17464941077525e-23
2013-12-31,mv_plugin_sample,small_lobm_vwret_pct,-9.512272835707352e-23
2013-12-31,stat_arb_cointegration,big_hibm_vwret_pct,0.0
2013-12-31,stat_arb_cointegration,big_lobm_vwret_pct,0.0
2013-12-31,stat_arb_cointegration,me1_bm2_vwret_pct,0.0
2013-12-31,stat_arb_cointegration,me2_bm2_vwret_pct,0.0
2013-12-31,stat_arb_cointegration,small_hibm_vwret_pct,0.0
2013-12-31,stat_arb_cointegration,small_lobm_vwret_pct,0.0
2014-01-31,equal_weight,big_hibm_vwret_pct,0.16666666666666666
2014-01-31,equal_weight,big_lobm_vwret_pct,0.16666666666666666
2014-01-31,equal_weight,me1_bm2_vwret_pct,0.16666666666666666
2014-01-31,equal_weight,me2_bm2_vwret_pct,0.16666666666666666
2014-01-31,equal_weight,small_hibm_vwret_pct,0.16666666666666666
2014-01-31,equal_weight,small_lobm_vwret_pct,0.16666666666666666
2014-01-31,mv_improved_shrinkage,big_hibm_vwret_pct,2.643785885212893e-10
2014-01-31,mv_improved_shrinkage,big_lobm_vwret_pct,0.34784433886890515
2014-01-31,mv_improved_shrinkage,me1_bm2_vwret_pct,0.3497228163734816
2014-01-31,mv_improved_shrinkage,me2_bm2_vwret_pct,0.30243282861168647
2014-01-31,mv_improved_shrinkage,small_hibm_vwret_pct,1.5674875793216255e-08
2014-01-31,mv_improved_shrinkage,small_lobm_vwret_pct,2.0663219580743177e-10
2014-01-31,mv_plugin_sample,big_hibm_vwret_pct,8.802030338100753e-23
2014-01-31,mv_plugin_sample,big_lobm_vwret_pct,1.0
2014-01-31,mv_plugin_sample,me1_bm2_vwret_pct,2.6169385537526723e-24
2014-01-31,mv_plugin_sample,me2_bm2_vwret_pct,8.36082341035705e-23
2014-01-31,mv_plugin_sample,small_hibm_vwret_pct,-4.228776925129277e-23
2014-01-31,mv_plugin_sample,small_lobm_vwret_pct,6.523016829637163e-23
2014-01-31,stat_arb_cointegration,big_hibm_vwret_pct,0.0
2014-01-31,stat_arb_cointegration,big_lobm_vwret_pct,0.0
2014-01-31,stat_arb_cointegration,me1_bm2_vwret_pct,0.0
2014-01-31,stat_arb_cointegration,me2_bm2_vwret_pct,0.0
2014-01-31,stat_arb_cointegration,small_hibm_vwret_pct,0.0
2014-01-31,stat_arb_cointegration,small_lobm_vwret_pct,0.0
2014-02-28,equal_weight,big_hibm_vwret_pct,0.16666666666666666
2014-02-28,equal_weight,big_lobm_vwret_pct,0.16666666666666666
2014-02-28,equal_weight,me1_bm2_vwret_pct,0.16666666666666666
2014-02-28,equal_weight,me2_bm2_vwret_pct,0.16666666666666666
2014-02-28,equal_weight,small_hibm_vwret_pct,0.16666666666666666
2014-02-28,equal_weight,small_lobm_vwret_pct,0.16666666666666666
2014-02-28,mv_improved_shrinkage,big_hibm_vwret_pct,1.0873469075668396e-09
2014-02-28,mv_improved_shrinkage,big_lobm_vwret_pct,0.34870330948355527
2014-02-28,mv_improved_shrinkage,me1_bm2_vwret_pct,0.34856843385955905
2014-02-28,mv_improved_shrinkage,me2_bm2_vwret_pct,0.30272825027669775
2014-02-28,mv_improved_shrinkage,small_hibm_vwret_pct,4.244096150990462e-09
2014-02-28,mv_improved_shrinkage,small_lobm_vwret_pct,9.880274885611236e-10
2014-02-28,mv_plugin_sample,big_hibm_vwret_pct,1.0093081810445501e-23
2014-02-28,mv_plugin_sample,big_lobm_vwret_pct,1.0
2014-02-28,mv_plugin_sample,me1_bm2_vwret_pct,6.532964030784404e-23
2014-02-28,mv_plugin_sample,me2_bm2_vwret_pct,8.093614718845023e-23
2014-02-28,mv_plugin_sample,small_hibm_vwret_pct,4.928816187461658e-23
2014-02-28,mv_plugin_sample,small_lobm_vwret_pct,5.382823835352271e-23
2014-02-28,stat_arb_cointegration,big_hibm_vwret_pct,0.0
2014-02-28,stat_arb_cointegration,big_lobm_vwret_pct,0.0
2014-02-28,stat_arb_cointegration,me1_bm2_vwret_pct,0.0
2014-02-28,stat_arb_cointegration,me2_bm2_vwret_pct,0.0
2014-02-28,stat_arb_cointegration,small_hibm_vwret_pct,0.0
2014-02-28,stat_arb_cointegration,small_lobm_vwret_pct,0.0
2014-03-31,equal_weight,big_hibm_vwret_pct,0.16666666666666666
2014-03-31,equal_weight,big_lobm_vwret_pct,0.16666666666666666
2014-03-31,equal_weight,me1_bm2_vwret_pct,0.16666666666666666
2014-03-31,equal_weight,me2_bm2_vwret_pct,0.16666666666666666
2014-03-31,equal_weight,small_hibm_vwret_pct,0.16666666666666666
2014-03-31,equal_weight,small_lobm_vwret_pct,0.16666666666666666
2014-03-31,mv_improved_shrinkage,big_hibm_vwret_pct,8.36531313814844e-10
2014-03-31,mv_improved_shrinkage,big_lobm_vwret_pct,0.3492459069618866
2014-03-31,mv_improved_shrinkage,me1_bm2_vwret_pct,0.3484558280517231
2014-03-31,mv_improved_shrinkage,me2_bm2_vwret_pct,0.3022982617316634
2014-03-31,mv_improved_shrinkage,small_hibm_vwret_pct,1.5540284737975122e-09
2014-03-31,mv_improved_shrinkage,small_lobm_vwret_pct,8.065337981409019e-10
2014-03-31,mv_plugin_sample,big_hibm_vwret_pct,5.934755944361246e-23
2014-03-31,mv_plugin_sample,big_lobm_vwret_pct,1.0
2014-03-31,mv_plugin_sample,me1_bm2_vwret_pct,6.587157748301577e-23
2014-03-31,mv_plugin_sample,me2_bm2_vwret_pct,1.3924772881072981e-22
2014-03-31,mv_plugin_sample,small_hibm_vwret_pct,-5.543980063452895e-23
2014-03-31,mv_plugin_sample,small_lobm_vwret_pct,5.076918736639072e-23
2014-03-31,stat_arb_cointegration,big_hibm_vwret_pct,0.0
2014-03-31,stat_arb_cointegration,big_lobm_vwret_pct,0.0
2014-03-31,stat_arb_cointegration,me1_bm2_vwret_pct,0.0
2014-03-31,stat_arb_cointegration,me2_bm2_vwret_pct,0.0
2014-03-31,stat_arb_cointegration,small_hibm_vwret_pct,0.0
2014-03-31,stat_arb_cointegration,small_lobm_vwret_pct,0.0
2014-04-30,equal_weight,big_hibm_vwret_pct,0.16666666666666666
2014-04-30,equal_weight,big_lobm_vwret_pct,0.16666666666666666
2014-04-30,equal_weight,me1_bm2_vwret_pct,0.16666666666666666
2014-04-30,equal_weight,me2_bm2_vwret_pct,0.16666666666666666
2014-04-30,equal_weight,small_hibm_vwret_pct,0.16666666666666666
